participant,isMale,leftHanded,age,weight,height,HowReligious,nSibling,smoke,romantic,education1_you,education_father,education_mother,conservative_you,conservative_father,conservative_mother,income_you,income_parent,cityGrewupPopulation,cityGrewupSize,cityGrewupConservative,cityNowPopulation,cityNowSize,cityNowConservative
2799ZL,1,0,28,205,75,6,5,1,1,2,2,2,4,4,4,1,3,3,4,4,6,5,3
2800ZL,1,0,21,168,71,1,2,1,1,2,5,3,1,3,3,1,6,3,3,3,6,5,2
2806ZL,0,0,22,110,62,5,2,1,1,2,5,5,2,6,6,1,5,2,4,5,4,5,3
2808ZL,1,0,23,180,76,5,3,1,1,2,4,4,3,5,2,1,3,5,3,3,6,5,3
2809ZL,1,0,18,184,71,4,3,1,1,2,2,3,4,4,4,1,4,5,3,4,6,5,1
2815ZL,1,0,21,160,67,3,2,1,1,2,5,5,4,4,3,1,6,3,3,5,5,4,2
2817ZL,0,0,18,140,64,4,2,1,1,2,3,3,3,3,3,1,2,3,4,3,4,3,4
2820ZL,1,0,18,175,71,4,3,1,2,2,2,4,4,6,5,1,1,7,3,2,7,3,1
2821ZL,1,0,22,150,68,4,5,1,1,2,5,3,4,6,4,1,6,4,3,5,5,5,1
2822ZL,0,0,21,103,64,3,3,1,1,2,3,3,2,3,3,1,1,4,4,2,6,5,3
2830ZL,0,0,28,105,61,1,2,1,5,5,3,3,1,5,3,1,2,3,4,4,6,5,2
2832ZL,1,0,21,153,68,1,2,1,2,2,3,5,1,3,3,1,3,2,1,6,6,5,2
2838ZL,1,0,21,190,70,5,3,1,4,2,3,2,5,6,4,1,5,3,3,5,3,3,5
2839ZL,1,0,19,155,69,1,3,1,1,2,4,1,3,3,4,1,5,4,3,4,6,4,2
2840ZL,0,0,21,114,61,1,3,1,5,2,5,4,1,5,5,1,6,3,3,3,6,5,2
2841ZL,0,0,20,136,64,4,2,3,1,2,2,3,1,3,2,1,1,4,3,2,7,4,1
2842ZL,1,0,21,180,74,1,4,1,1,3,3,3,3,6,1,1,6,3,3,4,4,4,3
2844ZL,1,0,18,200,69,5,1,1,4,2,5,3,3,4,5,1,6,2,3,5,6,5,2
2845ZL,0,0,22,135,66,2,2,1,1,2,1,2,4,5,1,1,4,2,2,3,7,5,2
2851ZL,1,0,18,163,73,1,2,1,1,2,5,5,6,6,6,1,6,3,2,3,6,4,3
2853ZL,0,0,20,135,65,1,2,1,1,2,4,3,3,5,2,1,5,3,4,5,5,5,2
2855ZL,1,0,21,140,67,4,4,1,1,2,1,2,4,4,5,1,2,1,2,4,5,5,2
2856ZL,0,1,20,130,65,3,5,1,1,2,1,1,4,4,4,1,1,7,5,4,7,5,4
2858ZL,0,0,19,125,65,6,3,1,5,2,3,3,2,6,4,1,3,2,2,4,6,5,2
2862ZL,1,0,21,178,72,4,2,1,1,2,5,3,4,5,4,1,5,3,3,3,6,5,1
2864ZL,0,0,19,165,67,4,3,1,1,2,3,3,4,4,4,1,4,3,3,3,6,5,2
2868ZL,0,0,20,160,71,2,3,1,2,2,4,3,3,2,4,1,4,4,3,4,6,4,3
2869ZL,1,1,19,200,77,3,2,1,1,2,5,5,4,4,4,1,5,4,3,4,7,5,3
2871ZL,1,0,23,170,75,1,2,1,1,2,1,1,2,6,2,1,2,4,3,3,7,5,2
2883ZL,0,0,21,151,67,5,2,1,6,2,4,4,1,3,2,1,2,2,3,3,4,5,2
2890ZL,1,0,22,215,72,3,2,1,4,2,1,1,3,4,4,1,3,3,3,5,7,5,2
2895ZL,1,0,22,195,68,2,3,1,1,2,3,1,3,3,3,1,3,2,3,5,6,5,2
2896ZL,0,0,23,168,63,5,3,1,1,3,2,3,3,5,5,1,3,6,4,2,2,1,5
2899ZL,1,0,19,175,71,3,4,1,3,2,4,5,4,4,4,1,6,5,4,4,7,5,3
2901ZL,1,0,18,155,72,6,4,1,1,2,5,3,3,3,3,1,5,7,3,3,7,5,3
2904ZL,1,0,51,265,76,5,3,1,7,5,1,5,5,6,5,6,6,6,5,4,3,4,3
2908ZL,1,0,18,238,74,2,3,1,5,2,1,1,4,3,5,1,4,7,5,3,7,5,3
2913ZL,0,0,20,143,64,3,3,1,6,2,5,2,5,5,5,1,5,2,3,4,4,5,2
2915ZL,1,0,19,145,65,3,3,1,1,2,2,2,3,4,5,1,3,4,3,4,6,5,3
2918ZL,1,0,19,227,67,2,1,3,1,2,1,1,2,4,4,1,3,3,3,4,6,5,1
2919ZL,0,0,19,122,66,5,2,1,1,2,3,3,4,5,4,1,4,3,3,4,6,5,2
2927ZL,1,0,22,175,75,4,3,3,1,2,3,3,1,6,2,1,1,3,3,3,6,5,2
2929ZL,0,0,22,150,68,1,3,1,1,2,1,2,3,5,2,1,2,3,3,2,6,4,1
2935ZL,1,0,21,190,71,2,3,1,1,2,3,4,4,4,4,1,3,2,3,5,6,5,3
2947ZL,0,0,19,135,65,2,3,1,2,2,3,2,3,5,4,1,5,2,3,3,6,5,3
2955ZL,1,0,20,172,68,1,3,1,6,2,5,5,2,2,2,1,6,3,3,4,3,3,3
2958ZL,1,0,20,190,73,4,2,1,1,2,3,3,3,5,6,1,6,3,3,3,7,5,1
2959ZL,1,0,19,160,70,2,3,1,2,2,5,3,1,2,2,1,6,2,1,5,6,4,3
2961ZL,1,0,21,155,70,3,2,1,2,2,2,5,4,3,4,1,4,5,3,4,6,5,4
2966ZL,1,0,19,150,72,4,3,1,1,2,3,3,4,5,2,1,4,3,3,3,5,5,3
2969ZL,0,0,23,130,64,4,2,3,6,5,3,3,2,2,4,1,2,5,4,2,6,5,4
2970ZL,1,0,19,160,71,5,1,1,1,2,1,1,6,6,6,1,1,2,3,6,7,5,2
2972ZL,0,0,40,145,90.5,4,3,5,1,2,1,1,3,6,6,1,2,6,5,3,6,5,3
2974ZL,1,0,21,154,68,3,3,1,5,2,5,3,6,1,3,1,5,5,4,4,5,4,1
2981ZL,1,0,19,155,65,1,2,1,1,2,5,5,3,4,4,1,6,6,3,4,7,5,2
2996ZL,1,0,20,160,68,1,2,1,1,2,5,3,4,5,5,1,4,3,3,4,6,5,3
2998ZL,0,0,20,160,62,2,4,1,3,2,2,2,2,6,2,1,4,6,5,3,6,5,3
3002ZL,0,0,20,140,67,2,2,1,3,2,1,1,3,4,2,1,1,3,3,4,6,5,3
3005ZL,0,0,19,134,69,6,4,1,4,5,5,5,5,5,5,1,5,4,5,5,3,3,3
3008ZL,0,0,19,130,62,5,2,1,1,5,5,5,2,1,3,1,6,4,3,3,5,4,2
3009ZL,0,0,27,105,70,3,2,1,1,5,3,3,2,3,4,1,5,4,3,4,6,4,3
3015ZL,1,0,40,155,69,2,2,1,3,5,5,5,2,2,2,1,4,5,4,3,5,5,3
3024ZL,0,0,25,116,57,2,1,1,5,5,1,1,2,5,4,1,2,3,3,4,6,5,3
3026ZL,0,0,23,133,65,5,2,1,6,5,3,3,2,5,3,1,5,3,3,5,6,5,3
3027ZL,1,0,21,180,71,2,2,1,6,2,3,3,5,6,5,1,6,3,3,2,6,5,3
3028ZL,0,0,27,140,60,5,2,1,2,5,3,2,3,5,2,1,2,2,3,5,6,5,1
3029ZL,1,0,21,190,74,1,4,1,2,2,5,3,4,4,3,1,6,7,4,5,7,5,3
